Sample,AI,Richness,all_seqs,all_len,lat,lon,LandcoverClass,Nation,Continent,Type
China_S1,0.075774848,1,96089706,14170161455,34.76777778,111.7691667,Agricultural Land,China,Asia,Metagenome
China_S107,0.097345365,1,73901278,11030230549,22.43416667,113.5175,Forest,China,Asia,Metagenome
China_S112,0.207523094,2,70015950,10348167029,25.07,110.3058333,Agricultural Land,China,Asia,Metagenome
China_S113,0.306778658,2,71082174,10500161553,25.07333333,110.2930556,Wetland,China,Asia,Metagenome
China_S118,0.07870535,1,92252417,13642551967,24.20194444,109.3694444,Forest,China,Asia,Metagenome
China_S12,0.199829526,1,72798249,10746578313,34.46194444,113.4388889,Agricultural Land,China,Asia,Metagenome
China_S121,0.09655254,1,75161299,11120803534,24.28361111,109.4077778,Agricultural Land,China,Asia,Metagenome
China_S122,0.324931683,3,67174622,9913546846,22.97777778,108.5777778,Agricultural Land,China,Asia,Metagenome
China_S125,0.340362371,1,84705582,12618807650,22.86527778,108.3375,Agricultural Land,China,Asia,Metagenome
China_S126,0.340362378,1,84705582,12618807409,22.92444444,108.5405556,Agricultural Land,China,Asia,Metagenome
China_S128,0.094393137,1,77006344,11375210768,22.92611111,108.3730556,Wetland,China,Asia,Metagenome
China_S129,0.094545542,1,76606700,11356874127,26.32194444,106.1388889,Agricultural Land,China,Asia,Metagenome
China_S132,0.096633813,1,75229931,11111450468,26.30638889,106.1388889,Agricultural Land,China,Asia,Metagenome
China_S135,0.18666497,1,77891249,11504481246,27.04361111,106.9605556,Agricultural Land,China,Asia,Metagenome
China_S136,0.331449786,1,65764516,9718592706,27.04277778,107.0227778,Agricultural Land,China,Asia,Metagenome
China_S139,0.434936425,2,82867414,12343664057,25.81277778,107.1766667,Agricultural Land,China,Asia,Metagenome
China_S14,0.095989382,1,75805565,11186047933,34.13277778,112.0888889,Agricultural Land,China,Asia,Metagenome
China_S140,0.083601046,1,86250347,12843641007,25.805,107.1752778,Agricultural Land,China,Asia,Metagenome
China_S141,0.189084654,2,76898193,11357260409,25.86194444,107.1297222,Agricultural Land,China,Asia,Metagenome
China_S142,0.073065496,1,98703577,14695607155,25.80444444,107.1847222,Grassland,China,Asia,Metagenome
China_S143,0.317866014,1,91016071,13511879544,25.84944444,107.1669444,Agricultural Land,China,Asia,Metagenome
China_S145,0.084469435,1,86026876,12711601797,20.03444444,110.3377778,Agricultural Land,China,Asia,Metagenome
China_S155,0.081977361,1,88204345,13098028717,18.33722222,109.4611111,Forest,China,Asia,Metagenome
China_S162,0.104236454,1,69680830,10301020217,37.9525,114.7902778,Agricultural Land,China,Asia,Metagenome
China_S165,0.210514474,2,69403366,10201121152,37.87444444,114.8925,Agricultural Land,China,Asia,Metagenome
China_S174,0.199687818,1,72964934,10754204589,35.28111111,114.8736111,Wetland,China,Asia,Metagenome
China_S178,0.107615715,1,67855742,9977555991,35.37,114.9216667,Agricultural Land,China,Asia,Metagenome
China_S179,0.185965482,2,78546265,11547754112,44.575,129.7,Agricultural Land,China,Asia,Metagenome
