otu_id,sample_id,Host,project_id,count,nreads,classification,run_id
NC_035460.1,CRMT_S05,Human_and_other_vertebrates,soil,9.000000001,3.473619969,soil,CRMT_S05
NC_007647.1,CRMT_S08,Human_and_other_vertebrates,soil,33,4.728223884,soil,CRMT_S08
NC_036582.1,CRMT_S11,Birds,soil,1.000000001,3.321881229,soil,CRMT_S11
NC_001669.1,CRMT_S14,Non_human_primates,soil,0.999999999,4.029216359,soil,CRMT_S14
NC_036582.1,CRMT_S16,Birds,soil,0.999999999,3.316502664,soil,CRMT_S16
NC_006430.1,CRMT_S17,Human_and_other_vertebrates,soil,79.00000001,3.587525491,soil,CRMT_S17
NC_036582.1,CRMT_S18,Birds,soil,1,3.954184914,soil,CRMT_S18
NC_007363.1,CRMT_S22,Human_and_other_vertebrates,soil,1.000000002,4.111936473,soil,CRMT_S22
NC_036582.1,CRMT_S22,Birds,soil,3.999999998,4.111936473,soil,CRMT_S22
NC_006430.1,CRMT_S24,Human_and_other_vertebrates,soil,4543.000001,3.782577188,soil,CRMT_S24
NC_006430.1,CRMT_S25,Human_and_other_vertebrates,soil,146,4.037787105,soil,CRMT_S25
NC_036582.1,CRMT_S31,Birds,soil,1.000000001,3.384799196,soil,CRMT_S31
NC_007362.1,CRMT_S33,Human_and_other_vertebrates,soil,0.999999999,3.741795035,soil,CRMT_S33
NC_006430.1,CRMT_S34,Human_and_other_vertebrates,soil,1,2.176820946,soil,CRMT_S34
NC_007647.1,CRMT_S34,Human_and_other_vertebrates,soil,2.000000001,2.176820946,soil,CRMT_S34
NC_006430.1,CRMT_S37,Human_and_other_vertebrates,soil,1,3.130064836,soil,CRMT_S37
NC_001357.1,CRMT_S38,Human,soil,1.000000001,3.32028883,soil,CRMT_S38
NC_001357.1,CRMT_S39,Human,soil,3,4.625739384,soil,CRMT_S39
NC_006430.1,CRMT_S40,Human_and_other_vertebrates,soil,1,2.936649842,soil,CRMT_S40
